character,vid credit,count credit,vid link,count link
albedo,Kolibri#7675 (special thanks to Xreejan#1180),Kolibri#7675,https://youtu.be/BYr-3R-XpfE,https://docs.google.com/spreadsheets/d/1WIejtwUZpZ2lqTNlK2_6cJPoDe0PUmCL6QKB05m_AQQ/edit?usp=sharin
aloy,Kolibri#7675,Kolibri#7675,https://youtu.be/mGnzKSsvq9s,https://docs.google.com/spreadsheets/d/11uyES6x6UFGm2bqcsY4dPSqLgsELrdkPv145NmMwTmc/edit?usp=sharing
amber,Kolibri#7675,Kolibri#7675,https://youtu.be/UrChJbc4juc,https://docs.google.com/spreadsheets/d/1XDS-RP7G7-htZ4PP9A5SXPbg7Gy-Laksp4oXwObNgf8/edit?usp=sharing
ayaka,Kolibri#7675,Kurt#5846,https://youtu.be/63AA7Q_U7nI,https://docs.google.com/spreadsheets/d/1WPxQ7vf0_dp5g96aqGF0_JZSqjtYHOJC0b89zRS_WrA/edit?usp=sharing
ayaka,Kolibri#7675,Kurt#5846,https://youtu.be/-Ujt8mGb_0k,https://docs.google.com/spreadsheets/d/1WPxQ7vf0_dp5g96aqGF0_JZSqjtYHOJC0b89zRS_WrA/edit?usp=sharing
ayaka,Kolibri#7675,Kurt#5846,https://youtu.be/ulTSQRrR4n8,https://docs.google.com/spreadsheets/d/1WPxQ7vf0_dp5g96aqGF0_JZSqjtYHOJC0b89zRS_WrA/edit?usp=sharing
ayato,Kolibri#7675,Kurt#5846,https://youtu.be/NNBdbP4Rn28,https://docs.google.com/spreadsheets/d/1VL6nQvehIj8wTFC6ACC88p3i8lGUZnZV8Lx0G1dZp88/edit?usp=sharing
ayato,Kolibri#7675,Kurt#5846,https://youtu.be/AL2qAaaIvhs,https://docs.google.com/spreadsheets/d/1VL6nQvehIj8wTFC6ACC88p3i8lGUZnZV8Lx0G1dZp88/edit?usp=sharing
ayato,Kolibri#7675,Kurt#5846,https://youtu.be/m0ABsEc-Gaw,https://docs.google.com/spreadsheets/d/1VL6nQvehIj8wTFC6ACC88p3i8lGUZnZV8Lx0G1dZp88/edit?usp=sharing
barbara,Kolibri#7675,phaZZi#6461,https://youtu.be/ZlKREU4NZPA,https://docs.google.com/spreadsheets/d/1R_OywCjjSW8PeYPPniBLVnoTZ8uQ2L_GLKYmQvFTHV0/edit?usp=sharing
